
Year    Storms  Cat1  Cat2  Cat3  Cat4  Cat5
EP131988 MIRIAM, Start: 1988-10-23 06:00:00 End: 1988-11-02 12:00:00 Duration: 10 days 6 hours, Max Wind: 60 knots, Min Pressure: 986 mb, Landfalls: 0
EP141988 UNNAMED, Start: 1988-06-15 12:00:00 End: 1988-06-18 18:00:00 Duration: 3 days 6 hours, Max Wind: 30 knots, Min Pressure: N/A mb, Landfalls: 0
EP151988 UNNAMED, Start: 1988-07-02 00:00:00 End: 1988-07-04 06:00:00 Duration: 2 days 6 hours, Max Wind: 25 knots, Min Pressure: N/A mb, Landfalls: 0
EP161988 UNNAMED, Start: 1988-07-28 18:00:00 End: 1988-07-29 18:00:00 Duration: 1 days 0 hours, Max Wind: 25 knots, Min Pressure: N/A mb, Landfalls: 0
EP171988 UNNAMED, Start: 1988-08-14 00:00:00 End: 1988-08-16 18:00:00 Duration: 2 days 18 hours, Max Wind: 30 knots, Min Pressure: N/A mb, Landfalls: 0
EP181988 UNNAMED, Start: 1988-08-27 00:00:00 End: 1988-08-29 00:00:00 Duration: 2 days 0 hours, Max Wind: 30 knots, Min Pressure: N/A mb, Landfalls: 0
EP191988 UNNAMED, Start: 1988-09-12 18:00:00 End: 1988-09-15 18:00:00 Duration: 3 days 0 hours, Max Wind: 30 knots, Min Pressure: N/A mb, Landfalls: 0
EP201988 UNNAMED, Start: 1988-10-11 06:00:00 End: 1988-10-12 18:00:00 Duration: 1 days 12 hours, Max Wind: 30 knots, Min Pressure: N/A mb, Landfalls: 0
EP011989 ADOLPH, Start: 1989-05-31 18:00:00 End: 1989-06-05 18:00:00 Duration: 5 days 0 hours, Max Wind: 55 knots, Min Pressure: 994 mb, Landfalls: 0
EP021989 BARBARA, Start: 1989-06-15 18:00:00 End: 1989-06-21 00:00:00 Duration: 5 days 6 hours, Max Wind: 70 knots, Min Pressure: 984 mb, Landfalls: 0
EP031989 COSME, Start: 1989-06-18 00:00:00 End: 1989-06-23 12:00:00 Duration: 5 days 12 hours, Max Wind: 75 knots, Min Pressure: 979 mb, Landfalls: 1
EP041989 UNNAMED, Start: 1989-07-09 00:00:00 End: 1989-07-10 18:00:00 Duration: 1 days 18 hours, Max Wind: 30 knots, Min Pressure: N/A mb, Landfalls: 0
EP051989 UNNAMED, Start: 1989-07-09 00:00:00 End: 1989-07-13 18:00:00 Duration: 4 days 18 hours, Max Wind: 30 knots, Min Pressure: N/A mb, Landfalls: 0
EP061989 DALILIA, Start: 1989-07-11 12:00:00 End: 1989-07-21 18:00:00 Duration: 10 days 6 hours, Max Wind: 80 knots, Min Pressure: 977 mb, Landfalls: 0
EP071989 UNNAMED, Start: 1989-07-15 00:00:00 End: 1989-07-18 06:00:00 Duration: 3 days 6 hours, Max Wind: 30 knots, Min Pressure: N/A mb, Landfalls: 0
EP081989 ERICK, Start: 1989-07-19 00:00:00 End: 1989-07-21 06:00:00 Duration: 2 days 6 hours, Max Wind: 35 knots, Min Pressure: 1005 mb, Landfalls: 0
EP091989 FLOSSIE, Start: 1989-07-23 18:00:00 End: 1989-07-28 06:00:00 Duration: 4 days 12 hours, Max Wind: 35 knots, Min Pressure: 1004 mb, Landfalls: 0
EP101989 GIL, Start: 1989-07-30 00:00:00 End: 1989-08-05 12:00:00 Duration: 6 days 12 hours, Max Wind: 75 knots, Min Pressure: 979 mb, Landfalls: 0
EP111989 HENRIETTE, Start: 1989-08-15 00:00:00 End: 1989-08-18 00:00:00 Duration: 3 days 0 hours, Max Wind: 45 knots, Min Pressure: 1000 mb, Landfalls: 0
EP121989 ISMAEL, Start: 1989-08-14 12:00:00 End: 1989-08-25 12:00:00 Duration: 11 days 0 hours, Max Wind: 105 knots, Min Pressure: 955 mb, Landfalls: 0
EP131989 JULIETTE, Start: 1989-08-21 12:00:00 End: 1989-08-25 18:00:00 Duration: 4 days 6 hours, Max Wind: 55 knots, Min Pressure: 992 mb, Landfalls: 0
EP141989 KIKO, Start: 1989-08-25 12:00:00 End: 1989-08-29 18:00:00 Duration: 4 days 6 hours, Max Wind: 105 knots, Min Pressure: 955 mb, Landfalls: 1
EP151989 LORENA, Start: 1989-08-27 18:00:00 End: 1989-09-06 18:00:00 Duration: 10 days 0 hours, Max Wind: 65 knots, Min Pressure: 989 mb, Landfalls: 0
EP161989 MANUEL, Start: 1989-08-28 18:00:00 End: 1989-08-31 18:00:00 Duration: 3 days 0 hours, Max Wind: 40 knots, Min Pressure: 1002 mb, Landfalls: 0
EP171989 NARDA, Start: 1989-09-03 00:00:00 End: 1989-09-08 00:00:00 Duration: 5 days 0 hours, Max Wind: 45 knots, Min Pressure: 1000 mb, Landfalls: 0
EP181989 OCTAVE, Start: 1989-09-08 18:00:00 End: 1989-09-16 18:00:00 Duration: 8 days 0 hours, Max Wind: 115 knots, Min Pressure: 948 mb, Landfalls: 0
EP191989 PRISCILLA, Start: 1989-09-21 06:00:00 End: 1989-09-25 18:00:00 Duration: 4 days 12 hours, Max Wind: 55 knots, Min Pressure: 993 mb, Landfalls: 0
EP201989 UNNAMED, Start: 1989-09-25 18:00:00 End: 1989-09-27 12:00:00 Duration: 1 days 18 hours, Max Wind: 30 knots, Min Pressure: N/A mb, Landfalls: 0
EP211989 RAYMOND, Start: 1989-09-25 00:00:00 End: 1989-10-05 18:00:00 Duration: 10 days 18 hours, Max Wind: 125 knots, Min Pressure: 935 mb, Landfalls: 0
EP221989 UNNAMED, Start: 1989-10-03 12:00:00 End: 1989-10-08 06:00:00 Duration: 4 days 18 hours, Max Wind: 30 knots, Min Pressure: N/A mb, Landfalls: 0
EP231989 UNNAMED, Start: 1989-10-14 06:00:00 End: 1989-10-14 06:00:00 Duration: 0 days 0 hours, Max Wind: 20 knots, Min Pressure: N/A mb, Landfalls: 0
EP241989 UNNAMED, Start: 1989-10-16 00:00:00 End: 1989-10-19 12:00:00 Duration: 3 days 12 hours, Max Wind: 30 knots, Min Pressure: N/A mb, Landfalls: 0
EP011990 ALMA, Start: 1990-05-12 18:00:00 End: 1990-05-18 12:00:00 Duration: 5 days 18 hours, Max Wind: 75 knots, Min Pressure: 979 mb, Landfalls: 0
EP021990 BORIS, Start: 1990-06-02 18:00:00 End: 1990-06-08 12:00:00 Duration: 5 days 18 hours, Max Wind: 80 knots, Min Pressure: 977 mb, Landfalls: 0
EP031990 CRISTINA, Start: 1990-06-08 12:00:00 End: 1990-06-16 06:00:00 Duration: 7 days 18 hours, Max Wind: 55 knots, Min Pressure: 994 mb, Landfalls: 0
EP041990 DOUGLAS, Start: 1990-06-19 00:00:00 End: 1990-06-23 18:00:00 Duration: 4 days 18 hours, Max Wind: 55 knots, Min Pressure: 992 mb, Landfalls: 0
EP051990 ELIDA, Start: 1990-06-26 06:00:00 End: 1990-07-02 12:00:00 Duration: 6 days 6 hours, Max Wind: 70 knots, Min Pressure: 990 mb, Landfalls: 0
EP061990 UNNAMED, Start: 1990-06-29 18:00:00 End: 1990-07-03 18:00:00 Duration: 4 days 0 hours, Max Wind: 30 knots, Min Pressure: N/A mb, Landfalls: 0
EP071990 FAUSTO, Start: 1990-07-06 00:00:00 End: 1990-07-12 18:00:00 Duration: 6 days 18 hours, Max Wind: 75 knots, Min Pressure: 979 mb, Landfalls: 0
EP081990 GENEVIEVE, Start: 1990-07-10 00:00:00 End: 1990-07-18 12:00:00 Duration: 8 days 12 hours, Max Wind: 90 knots, Min Pressure: 970 mb, Landfalls: 0
EP091990 HERNAN, Start: 1990-07-19 12:00:00 End: 1990-07-31 00:00:00 Duration: 11 days 12 hours, Max Wind: 135 knots, Min Pressure: 928 mb, Landfalls: 0
EP101990 ISELLE, Start: 1990-07-20 12:00:00 End: 1990-07-30 12:00:00 Duration: 10 days 0 hours, Max Wind: 105 knots, Min Pressure: 958 mb, Landfalls: 0
CP011990 AKA, Start: 1990-08-07 18:00:00 End: 1990-08-15 12:00:00 Duration: 7 days 18 hours, Max Wind: 55 knots, Min Pressure: N/A mb, Landfalls: 0
EP111990 UNNAMED, Start: 1990-07-24 00:00:00 End: 1990-07-26 06:00:00 Duration: 2 days 6 hours, Max Wind: 25 knots, Min Pressure: N/A mb, Landfalls: 0
EP121990 UNNAMED, Start: 1990-08-16 12:00:00 End: 1990-08-19 18:00:00 Duration: 3 days 6 hours, Max Wind: 30 knots, Min Pressure: N/A mb, Landfalls: 0
EP131990 JULIO, Start: 1990-08-17 00:00:00 End: 1990-08-24 18:00:00 Duration: 7 days 18 hours, Max Wind: 100 knots, Min Pressure: 960 mb, Landfalls: 0
EP141990 KENNA, Start: 1990-08-21 18:00:00 End: 1990-08-30 12:00:00 Duration: 8 days 18 hours, Max Wind: 75 knots, Min Pressure: 980 mb, Landfalls: 0
EP151990 LOWELL, Start: 1990-08-23 18:00:00 End: 1990-09-01 12:00:00 Duration: 8 days 18 hours, Max Wind: 65 knots, Min Pressure: 986 mb, Landfalls: 0
EP161990 MARIE, Start: 1990-09-07 12:00:00 End: 1990-09-21 00:00:00 Duration: 13 days 12 hours, Max Wind: 120 knots, Min Pressure: 944 mb, Landfalls: 0
EP171990 NORBERT, Start: 1990-09-10 00:00:00 End: 1990-09-19 12:00:00 Duration: 9 days 12 hours, Max Wind: 70 knots, Min Pressure: 983 mb, Landfalls: 0
EP181990 UNNAMED, Start: 1990-09-09 18:00:00 End: 1990-09-12 18:00:00 Duration: 3 days 0 hours, Max Wind: 30 knots, Min Pressure: N/A mb, Landfalls: 0
EP191990 ODILE, Start: 1990-09-23 12:00:00 End: 1990-10-02 00:00:00 Duration: 8 days 12 hours, Max Wind: 125 knots, Min Pressure: 935 mb, Landfalls: 0
EP201990 POLO, Start: 1990-09-28 18:00:00 End: 1990-10-01 18:00:00 Duration: 3 days 0 hours, Max Wind: 65 knots, Min Pressure: 987 mb, Landfalls: 0
EP211990 RACHEL, Start: 1990-09-27 00:00:00 End: 1990-10-03 00:00:00 Duration: 6 days 0 hours, Max Wind: 55 knots, Min Pressure: 994 mb, Landfalls: 0
EP221990 SIMON, Start: 1990-10-09 00:00:00 End: 1990-10-14 18:00:00 Duration: 5 days 18 hours, Max Wind: 60 knots, Min Pressure: 990 mb, Landfalls: 0
EP231990 TRUDY, Start: 1990-10-16 00:00:00 End: 1990-11-01 12:00:00 Duration: 16 days 12 hours, Max Wind: 135 knots, Min Pressure: 924 mb, Landfalls: 0
EP241990 VANCE, Start: 1990-10-21 18:00:00 End: 1990-10-31 18:00:00 Duration: 10 days 0 hours, Max Wind: 85 knots, Min Pressure: 975 mb, Landfalls: 0
EP011991 ANDRES, Start: 1991-05-16 06:00:00 End: 1991-05-20 00:00:00 Duration: 3 days 18 hours, Max Wind: 55 knots, Min Pressure: 994 mb, Landfalls: 0
EP021991 BLANCA, Start: 1991-06-14 18:00:00 End: 1991-06-22 00:00:00 Duration: 7 days 6 hours, Max Wind: 55 knots, Min Pressure: 994 mb, Landfalls: 0
EP031991 CARLOS, Start: 1991-06-16 12:00:00 End: 1991-06-27 12:00:00 Duration: 11 days 0 hours, Max Wind: 105 knots, Min Pressure: 955 mb, Landfalls: 0
EP041991 DELORES, Start: 1991-06-22 12:00:00 End: 1991-06-28 18:00:00 Duration: 6 days 6 hours, Max Wind: 75 knots, Min Pressure: 979 mb, Landfalls: 0
EP051991 UNNAMED, Start: 1991-06-28 12:00:00 End: 1991-06-30 00:00:00 Duration: 1 days 12 hours, Max Wind: 30 knots, Min Pressure: N/A mb, Landfalls: 0
EP061991 ENRIQUE, Start: 1991-07-15 12:00:00 End: 1991-07-21 18:00:00 Duration: 6 days 6 hours, Max Wind: 65 knots, Min Pressure: 987 mb, Landfalls: 0
EP071991 FEFA, Start: 1991-07-29 06:00:00 End: 1991-08-08 00:00:00 Duration: 9 days 18 hours, Max Wind: 105 knots, Min Pressure: 959 mb, Landfalls: 0
EP081991 GUILLERMO, Start: 1991-08-04 00:00:00 End: 1991-08-10 18:00:00 Duration: 6 days 18 hours, Max Wind: 70 knots, Min Pressure: 983 mb, Landfalls: 0
EP091991 HILDA, Start: 1991-08-08 00:00:00 End: 1991-08-14 06:00:00 Duration: 6 days 6 hours, Max Wind: 55 knots, Min Pressure: 992 mb, Landfalls: 0
EP101991 UNNAMED, Start: 1991-09-12 12:00:00 End: 1991-09-14 00:00:00 Duration: 1 days 12 hours, Max Wind: 30 knots, Min Pressure: N/A mb, Landfalls: 0
EP111991 IGNACIO, Start: 1991-09-16 06:00:00 End: 1991-09-19 06:00:00 Duration: 3 days 0 hours, Max Wind: 55 knots, Min Pressure: 994 mb, Landfalls: 0
EP121991 JIMENA, Start: 1991-09-20 18:00:00 End: 1991-10-02 00:00:00 Duration: 11 days 6 hours, Max Wind: 115 knots, Min Pressure: 945 mb, Landfalls: 0
EP131991 KEVIN, Start: 1991-09-25 00:00:00 End: 1991-10-12 06:00:00 Duration: 17 days 6 hours, Max Wind: 125 knots, Min Pressure: 935 mb, Landfalls: 0
EP141991 LINDA, Start: 1991-10-03 12:00:00 End: 1991-10-13 18:00:00 Duration: 10 days 6 hours, Max Wind: 105 knots, Min Pressure: 957 mb, Landfalls: 0
EP151991 MARTY, Start: 1991-10-07 12:00:00 End: 1991-10-18 12:00:00 Duration: 11 days 0 hours, Max Wind: 70 knots, Min Pressure: 979 mb, Landfalls: 0
EP161991 NORA, Start: 1991-11-07 00:00:00 End: 1991-11-12 18:00:00 Duration: 5 days 18 hours, Max Wind: 90 knots, Min Pressure: 970 mb, Landfalls: 0
CP011992 EKEKA, Start: 1992-01-26 18:00:00 End: 1992-02-09 00:00:00 Duration: 13 days 6 hours, Max Wind: 100 knots, Min Pressure: N/A mb, Landfalls: 0
CP021992 HALI, Start: 1992-03-28 06:00:00 End: 1992-03-30 18:00:00 Duration: 2 days 12 hours, Max Wind: 45 knots, Min Pressure: N/A mb, Landfalls: 0
EP011992 AGATHA, Start: 1992-06-01 12:00:00 End: 1992-06-05 18:00:00 Duration: 4 days 6 hours, Max Wind: 60 knots, Min Pressure: 990 mb, Landfalls: 0
EP021992 UNNAMED, Start: 1992-06-16 18:00:00 End: 1992-06-18 12:00:00 Duration: 1 days 18 hours, Max Wind: 30 knots, Min Pressure: N/A mb, Landfalls: 0
EP031992 BLAS, Start: 1992-06-22 12:00:00 End: 1992-06-23 18:00:00 Duration: 1 days 6 hours, Max Wind: 35 knots, Min Pressure: 1004 mb, Landfalls: 0
EP041992 CELIA, Start: 1992-06-22 12:00:00 End: 1992-07-04 18:00:00 Duration: 12 days 6 hours, Max Wind: 125 knots, Min Pressure: 935 mb, Landfalls: 0
EP051992 DARBY, Start: 1992-07-02 12:00:00 End: 1992-07-10 00:00:00 Duration: 7 days 12 hours, Max Wind: 105 knots, Min Pressure: 968 mb, Landfalls: 0
EP061992 ESTELLE, Start: 1992-07-09 00:00:00 End: 1992-07-17 06:00:00 Duration: 8 days 6 hours, Max Wind: 120 knots, Min Pressure: 943 mb, Landfalls: 0
EP071992 FRANK, Start: 1992-07-13 06:00:00 End: 1992-07-23 12:00:00 Duration: 10 days 6 hours, Max Wind: 125 knots, Min Pressure: 935 mb, Landfalls: 0
EP081992 GEORGETTE, Start: 1992-07-14 12:00:00 End: 1992-07-26 06:00:00 Duration: 11 days 18 hours, Max Wind: 95 knots, Min Pressure: 964 mb, Landfalls: 0
EP091992 HOWARD, Start: 1992-07-26 06:00:00 End: 1992-07-30 18:00:00 Duration: 4 days 12 hours, Max Wind: 55 knots, Min Pressure: 992 mb, Landfalls: 0
EP101992 ISIS, Start: 1992-07-28 00:00:00 End: 1992-08-02 00:00:00 Duration: 5 days 0 hours, Max Wind: 55 knots, Min Pressure: 992 mb, Landfalls: 0
EP111992 JAVIER, Start: 1992-07-30 18:00:00 End: 1992-08-12 00:00:00 Duration: 12 days 6 hours, Max Wind: 70 knots, Min Pressure: 985 mb, Landfalls: 0
EP121992 UNNAMED, Start: 1992-08-10 00:00:00 End: 1992-08-13 00:00:00 Duration: 3 days 0 hours, Max Wind: 30 knots, Min Pressure: N/A mb, Landfalls: 0
EP131992 KAY, Start: 1992-08-18 06:00:00 End: 1992-08-22 18:00:00 Duration: 4 days 12 hours, Max Wind: 45 knots, Min Pressure: 1000 mb, Landfalls: 0
EP141992 LESTER, Start: 1992-08-20 00:00:00 End: 1992-08-24 18:00:00 Duration: 4 days 18 hours, Max Wind: 70 knots, Min Pressure: 985 mb, Landfalls: 1
EP151992 MADELINE, Start: 1992-08-27 12:00:00 End: 1992-08-31 00:00:00 Duration: 3 days 12 hours, Max Wind: 45 knots, Min Pressure: 999 mb, Landfalls: 0
EP161992 NEWTON, Start: 1992-08-27 12:00:00 End: 1992-08-31 18:00:00 Duration: 4 days 6 hours, Max Wind: 45 knots, Min Pressure: 999 mb, Landfalls: 0
EP171992 ORLENE, Start: 1992-09-02 18:00:00 End: 1992-09-14 18:00:00 Duration: 12 days 0 hours, Max Wind: 125 knots, Min Pressure: 934 mb, Landfalls: 0
EP181992 INIKI, Start: 1992-09-05 18:00:00 End: 1992-09-13 18:00:00 Duration: 8 days 0 hours, Max Wind: 125 knots, Min Pressure: 938 mb, Landfalls: 0
EP191992 PAINE, Start: 1992-09-11 00:00:00 End: 1992-09-16 12:00:00 Duration: 5 days 12 hours, Max Wind: 65 knots, Min Pressure: 987 mb, Landfalls: 0
EP201992 ROSLYN, Start: 1992-09-13 12:00:00 End: 1992-09-30 18:00:00 Duration: 17 days 6 hours, Max Wind: 85 knots, Min Pressure: 975 mb, Landfalls: 0
EP211992 SEYMOUR, Start: 1992-09-17 12:00:00 End: 1992-09-27 06:00:00 Duration: 9 days 18 hours, Max Wind: 75 knots, Min Pressure: 980 mb, Landfalls: 0
EP221992 TINA, Start: 1992-09-17 12:00:00 End: 1992-10-11 18:00:00 Duration: 24 days 6 hours, Max Wind: 130 knots, Min Pressure: 932 mb, Landfalls: 0
EP231992 VIRGIL, Start: 1992-10-01 06:00:00 End: 1992-10-05 18:00:00 Duration: 4 days 12 hours, Max Wind: 115 knots, Min Pressure: 948 mb, Landfalls: 1
EP241992 WINIFRED, Start: 1992-10-06 12:00:00 End: 1992-10-10 06:00:00 Duration: 3 days 18 hours, Max Wind: 100 knots, Min Pressure: 960 mb, Landfalls: 1
EP251992 XAVIER, Start: 1992-10-13 18:00:00 End: 1992-10-15 00:00:00 Duration: 1 days 6 hours, Max Wind: 40 knots, Min Pressure: 1003 mb, Landfalls: 0
EP261992 YOLANDA, Start: 1992-10-15 18:00:00 End: 1992-10-22 12:00:00 Duration: 6 days 18 hours, Max Wind: 55 knots, Min Pressure: 993 mb, Landfalls: 0
EP271992 ZEKE, Start: 1992-10-25 12:00:00 End: 1992-10-30 18:00:00 Duration: 5 days 6 hours, Max Wind: 45 knots, Min Pressure: 1000 mb, Landfalls: 0
CP031992 UNNAMED, Start: 1992-11-22 00:00:00 End: 1992-11-23 00:00:00 Duration: 1 days 0 hours, Max Wind: 30 knots, Min Pressure: N/A mb, Landfalls: 0
EP011993 ADRIAN, Start: 1993-06-11 06:00:00 End: 1993-06-19 12:00:00 Duration: 8 days 6 hours, Max Wind: 75 knots, Min Pressure: 979 mb, Landfalls: 0
EP021993 BEATRIZ, Start: 1993-06-18 06:00:00 End: 1993-06-20 00:00:00 Duration: 1 days 18 hours, Max Wind: 55 knots, Min Pressure: 995 mb, Landfalls: 0
EP031993 UNNAMED, Start: 1993-06-27 00:00:00 End: 1993-07-02 00:00:00 Duration: 5 days 0 hours, Max Wind: 30 knots, Min Pressure: N/A mb, Landfalls: 0
EP041993 CALVIN, Start: 1993-07-04 12:00:00 End: 1993-07-09 00:00:00 Duration: 4 days 12 hours, Max Wind: 95 knots, Min Pressure: 966 mb, Landfalls: 1
EP051993 DORA, Start: 1993-07-14 12:00:00 End: 1993-07-20 18:00:00 Duration: 6 days 6 hours, Max Wind: 115 knots, Min Pressure: 945 mb, Landfalls: 0
EP061993 EUGENE, Start: 1993-07-15 18:00:00 End: 1993-07-25 00:00:00 Duration: 9 days 6 hours, Max Wind: 110 knots, Min Pressure: 948 mb, Landfalls: 0
CP011993 KEONI, Start: 1993-08-09 00:00:00 End: 1993-08-29 12:00:00 Duration: 20 days 12 hours, Max Wind: 115 knots, Min Pressure: N/A mb, Landfalls: 0
EP071993 FERNANDA, Start: 1993-08-09 06:00:00 End: 1993-08-19 12:00:00 Duration: 10 days 6 hours, Max Wind: 125 knots, Min Pressure: 934 mb, Landfalls: 0
EP081993 GREG, Start: 1993-08-15 00:00:00 End: 1993-08-28 18:00:00 Duration: 13 days 18 hours, Max Wind: 115 knots, Min Pressure: 948 mb, Landfalls: 0
EP091993 HILARY, Start: 1993-08-17 06:00:00 End: 1993-08-27 06:00:00 Duration: 10 days 0 hours, Max Wind: 105 knots, Min Pressure: 957 mb, Landfalls: 0
EP101993 IRWIN, Start: 1993-08-21 06:00:00 End: 1993-08-22 12:00:00 Duration: 1 days 6 hours, Max Wind: 60 knots, Min Pressure: 999 mb, Landfalls: 0
EP111993 JOVA, Start: 1993-08-29 00:00:00 End: 1993-09-05 18:00:00 Duration: 7 days 18 hours, Max Wind: 115 knots, Min Pressure: 948 mb, Landfalls: 0
EP121993 KENNETH, Start: 1993-09-05 12:00:00 End: 1993-09-17 18:00:00 Duration: 12 days 6 hours, Max Wind: 130 knots, Min Pressure: 932 mb, Landfalls: 0
EP131993 LIDIA, Start: 1993-09-08 12:00:00 End: 1993-09-14 06:00:00 Duration: 5 days 18 hours, Max Wind: 130 knots, Min Pressure: 930 mb, Landfalls: 1
EP141993 UNNAMED, Start: 1993-09-21 18:00:00 End: 1993-09-26 00:00:00 Duration: 4 days 6 hours, Max Wind: 30 knots, Min Pressure: N/A mb, Landfalls: 0
EP151993 MAX, Start: 1993-09-30 00:00:00 End: 1993-10-04 00:00:00 Duration: 4 days 0 hours, Max Wind: 40 knots, Min Pressure: 1000 mb, Landfalls: 0
EP161993 NORMA, Start: 1993-10-02 18:00:00 End: 1993-10-06 12:00:00 Duration: 3 days 18 hours, Max Wind: 45 knots, Min Pressure: 1000 mb, Landfalls: 0
EP171993 UNNAMED, Start: 1993-10-11 18:00:00 End: 1993-10-14 00:00:00 Duration: 2 days 6 hours, Max Wind: 30 knots, Min Pressure: N/A mb, Landfalls: 0
EP011994 ALETTA, Start: 1994-06-18 06:00:00 End: 1994-06-23 06:00:00 Duration: 5 days 0 hours, Max Wind: 45 knots, Min Pressure: 999 mb, Landfalls: 0
EP021994 BUD, Start: 1994-06-27 06:00:00 End: 1994-06-29 18:00:00 Duration: 2 days 12 hours, Max Wind: 40 knots, Min Pressure: 1003 mb, Landfalls: 0
EP031994 CARLOTTA, Start: 1994-06-28 12:00:00 End: 1994-07-05 12:00:00 Duration: 7 days 0 hours, Max Wind: 90 knots, Min Pressure: 967 mb, Landfalls: 0
EP041994 DANIEL, Start: 1994-07-08 12:00:00 End: 1994-07-14 18:00:00 Duration: 6 days 6 hours, Max Wind: 55 knots, Min Pressure: 993 mb, Landfalls: 0
EP051994 EMILIA, Start: 1994-07-16 00:00:00 End: 1994-07-25 00:00:00 Duration: 9 days 0 hours, Max Wind: 140 knots, Min Pressure: 926 mb, Landfalls: 0
EP061994 FABIO, Start: 1994-07-19 00:00:00 End: 1994-07-24 00:00:00 Duration: 5 days 0 hours, Max Wind: 40 knots, Min Pressure: 1002 mb, Landfalls: 0
EP071994 GILMA, Start: 1994-07-21 06:00:00 End: 1994-07-31 00:00:00 Duration: 9 days 18 hours, Max Wind: 140 knots, Min Pressure: 920 mb, Landfalls: 0
EP081994 LI , Start: 1994-07-31 18:00:00 End: 1994-08-18 00:00:00 Duration: 17 days 6 hours, Max Wind: 65 knots, Min Pressure: N/A mb, Landfalls: 0
EP091994 HECTOR, Start: 1994-08-07 00:00:00 End: 1994-08-09 18:00:00 Duration: 2 days 18 hours, Max Wind: 55 knots, Min Pressure: 993 mb, Landfalls: 0
CP011994 UNNAMED, Start: 1994-08-09 06:00:00 End: 1994-08-14 06:00:00 Duration: 5 days 0 hours, Max Wind: 30 knots, Min Pressure: N/A mb, Landfalls: 0
EP111994 ILEANA, Start: 1994-08-10 12:00:00 End: 1994-08-14 18:00:00 Duration: 4 days 6 hours, Max Wind: 65 knots, Min Pressure: 986 mb, Landfalls: 0
EP101994 JOHN, Start: 1994-08-11 06:00:00 End: 1994-09-10 06:00:00 Duration: 30 days 0 hours, Max Wind: 150 knots, Min Pressure: 929 mb, Landfalls: 0
EP121994 UNNAMED, Start: 1994-08-12 00:00:00 End: 1994-08-15 12:00:00 Duration: 3 days 12 hours, Max Wind: 30 knots, Min Pressure: N/A mb, Landfalls: 0
EP131994 KRISTY, Start: 1994-08-28 18:00:00 End: 1994-09-05 00:00:00 Duration: 7 days 6 hours, Max Wind: 90 knots, Min Pressure: 992 mb, Landfalls: 0
EP141994 LANE, Start: 1994-09-03 18:00:00 End: 1994-09-10 12:00:00 Duration: 6 days 18 hours, Max Wind: 115 knots, Min Pressure: 948 mb, Landfalls: 0
CP021994 MELE, Start: 1994-09-06 00:00:00 End: 1994-09-09 12:00:00 Duration: 3 days 12 hours, Max Wind: 35 knots, Min Pressure: N/A mb, Landfalls: 0
EP151994 MIRIAM, Start: 1994-09-15 18:00:00 End: 1994-09-21 12:00:00 Duration: 5 days 18 hours, Max Wind: 40 knots, Min Pressure: 1002 mb, Landfalls: 0
EP161994 NORMAN, Start: 1994-09-19 06:00:00 End: 1994-09-22 00:00:00 Duration: 2 days 18 hours, Max Wind: 35 knots, Min Pressure: 1004 mb, Landfalls: 0
EP171994 OLIVIA, Start: 1994-09-22 06:00:00 End: 1994-09-29 18:00:00 Duration: 7 days 12 hours, Max Wind: 130 knots, Min Pressure: 923 mb, Landfalls: 0
EP181994 PAUL, Start: 1994-09-24 12:00:00 End: 1994-09-30 00:00:00 Duration: 5 days 12 hours, Max Wind: 40 knots, Min Pressure: 1003 mb, Landfalls: 0
EP191994 ROSA, Start: 1994-10-08 12:00:00 End: 1994-10-15 00:00:00 Duration: 6 days 12 hours, Max Wind: 90 knots, Min Pressure: 974 mb, Landfalls: 1
CP031994 NONA, Start: 1994-10-21 00:00:00 End: 1994-10-26 00:00:00 Duration: 5 days 0 hours, Max Wind: 35 knots, Min Pressure: N/A mb, Landfalls: 0
EP011995 UNNAMED, Start: 1995-05-21 06:00:00 End: 1995-05-23 00:00:00 Duration: 1 days 18 hours, Max Wind: 30 knots, Min Pressure: N/A mb, Landfalls: 0
EP021995 ADOLPH, Start: 1995-06-15 12:00:00 End: 1995-06-21 06:00:00 Duration: 5 days 18 hours, Max Wind: 115 knots, Min Pressure: 948 mb, Landfalls: 0
